Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
30000,3.2556798,9.999999e-05,0.0,-0.567591190671517,62.35010482180294,-0.37408027,0.35206643,-0.5702710120367402,0.6935072131924519,0.05804203,0.19122769,0.7372656,2.1996408
60000,3.1277156,1e-04,0.0,0.3407514679255182,86.14912280701755,0.055572614,0.28662172,0.3401169492835887,0.45318916188389585,0.04240973,0.14188436,0.25209397,1.6896412
90000,3.0716496,9.999999e-05,1.0,-0.4528008372694416,41.03501400560224,-0.26615304,0.1878869,-0.45004033871224614,0.19299454032247806,0.04265525,0.29620117,0.22745508,1.5643315
120000,3.0906382,9.999999e-05,1.0,-0.8739464233308886,47.64772727272727,-0.5935839,0.16281267,-0.8739334439205659,0.2025706793344882,0.024928391,0.15036857,0.20448957,1.3869841
150000,2.9859998,9.999998e-05,1.0,-0.5520084668774655,62.601694915254235,-0.3126466,0.1978914,-0.5582923736991519,0.2509961934065667,0.03570919,0.13669331,0.19403698,1.2177308
180000,2.8924994,9.999999e-05,1.0,-0.232752824965611,67.21995464852608,-0.019938484,0.26250613,-0.23040589426650482,0.2688540470154952,0.043192778,0.13369696,0.19299875,1.0958923
210000,2.768185,9.999999e-05,1.0,0.16072858461633413,70.22380952380952,0.2934978,0.29131678,0.1585071527532169,0.27324776806025985,0.049435455,0.12830165,0.18788974,0.95344806
240000,2.6587996,9.999999e-05,1.0,0.4344561614450954,74.3157894736842,0.43150252,0.2758969,0.4342732107579559,0.28327871522490394,0.050474923,0.12542039,0.1832715,0.887465
270000,2.5101953,9.999998e-05,1.0,0.7332772775233163,70.04028436018957,0.6444396,0.29532695,0.7333531162185126,0.24778350966572055,0.050402503,0.11742958,0.1703545,0.8209977
300000,2.3647385,1e-04,1.0,0.9436762460803876,65.13436123348018,0.8314502,0.2602484,0.9412914411911112,0.22723860651764516,0.05407012,0.118574835,0.16712669,0.7370195
330000,2.3221257,1e-04,1.0,0.9923896478757149,63.887445887445885,0.8887356,0.25476164,0.9944212257411515,0.21167169611088402,0.060618766,0.127707,0.15927523,0.7025858
360000,2.2358809,9.999999e-05,1.0,1.130917792084518,63.887445887445885,0.98263747,0.27240813,1.1309286438541495,0.2017480211606596,0.058834706,0.11382313,0.15180612,0.6392635
390000,2.2002692,1e-04,1.0,1.2539327692028714,68.57308584686776,1.0256652,0.2810684,1.2539258339288892,0.21084773109192914,0.051290303,0.11457704,0.14784722,0.62329227
420000,2.0762713,9.999998e-05,1.0,1.2960763536632083,59.34538152610442,1.0754566,0.2750224,1.296315340631937,0.17635783670006328,0.05107454,0.10273747,0.14353482,0.5771806
450000,2.034852,9.999998e-05,1.0,1.313332066410166,58.209486166007906,1.1308777,0.28481206,1.313059372275243,0.16880816291546516,0.051546074,0.105914935,0.13889474,0.55840427
480000,2.0668507,9.999998e-05,1.0,1.32993577577223,55.69754253308128,1.1354123,0.22109325,1.3299641631374626,0.15701242293352666,0.050870717,0.11256968,0.13481537,0.5716433
510000,2.0338168,9.999999e-05,1.0,1.3479981829274148,54.98694029850746,1.143274,0.22181544,1.3498676220205292,0.15281187933730656,0.05375394,0.107219264,0.1329372,0.5480219
540000,1.9690068,9.999999e-05,1.0,1.3473428580368212,52.301953818827705,1.15123,0.190067,1.3456359664457942,0.13780138656980032,0.054460518,0.1085025,0.1262581,0.5292616
570000,1.9959952,9.999998e-05,1.0,1.374248266201799,52.5375,1.133646,0.17761217,1.374184015606131,0.13220709813925038,0.0514007,0.096182205,0.12037366,0.5449567
